Rank,Route_ID,Zone_ID,Location,Score,Households,Conversion_Rate,Saturation,Freshness,Daily_kWh,Expected_Closes,Latitude,Longitude,Priority
816,960,33,Fredericksburg,62.4,150,49%,30%,70%,705600,73.5,38.1601,-77.5916,MODERATE
817,961,33,Fredericksburg,62.4,150,49%,30%,70%,705600,73.5,38.1601,-77.5916,MODERATE
818,962,33,Fredericksburg,62.4,150,49%,30%,70%,705600,73.5,38.1601,-77.5916,MODERATE
819,1363,184,Colonial Heights,61.8,150,48%,50%,50%,691200,72.0,37.3453,-77.4419,MODERATE
820,1088,59,Fredericksburg,61.6,150,49%,30%,70%,705600,73.5,38.2673,-77.5657,MODERATE
821,1089,59,Fredericksburg,61.6,150,49%,30%,70%,705600,73.5,38.2673,-77.5657,MODERATE
822,1090,59,Fredericksburg,61.6,150,49%,30%,70%,705600,73.5,38.2673,-77.5657,MODERATE
823,1091,59,Fredericksburg,61.6,150,49%,30%,70%,705600,73.5,38.2673,-77.5657,MODERATE
824,882,24,Fredericksburg,61.6,150,49%,30%,70%,705600,73.5,38.2295,-77.5162,MODERATE
825,883,24,Fredericksburg,61.6,150,49%,30%,70%,705600,73.5,38.2295,-77.5162,MODERATE
826,884,24,Fredericksburg,61.6,150,49%,30%,70%,705600,73.5,38.2295,-77.5162,MODERATE
827,885,24,Fredericksburg,61.6,150,49%,30%,70%,705600,73.5,38.2295,-77.5162,MODERATE
828,886,24,Fredericksburg,61.6,150,49%,30%,70%,705600,73.5,38.2295,-77.5162,MODERATE
829,887,24,Fredericksburg,61.6,150,49%,30%,70%,705600,73.5,38.2295,-77.5162,MODERATE
830,888,24,Fredericksburg,61.6,150,49%,30%,70%,705600,73.5,38.2295,-77.5162,MODERATE
831,889,24,Fredericksburg,61.6,150,49%,30%,70%,705600,73.5,38.2295,-77.5162,MODERATE
832,1338,166,Fairfax,61.3,150,35%,5%,95%,504000,52.5,38.8308,-77.3099,FRESH
833,1336,164,Hopewell,60.8,150,48%,35%,65%,691200,72.0,37.3107,-77.2803,MODERATE
834,1428,235,Hopewell,60.7,150,48%,35%,65%,691200,72.0,37.2778,-77.3228,MODERATE
835,706,13,Hopewell,60.6,150,48%,35%,65%,691200,72.0,37.2637,-77.3012,MODERATE
836,707,13,Hopewell,60.6,150,48%,35%,65%,691200,72.0,37.2637,-77.3012,MODERATE
837,708,13,Hopewell,60.6,150,48%,35%,65%,691200,72.0,37.2637,-77.3012,MODERATE
838,709,13,Hopewell,60.6,150,48%,35%,65%,691200,72.0,37.2637,-77.3012,MODERATE
839,710,13,Hopewell,60.6,150,48%,35%,65%,691200,72.0,37.2637,-77.3012,MODERATE
840,711,13,Hopewell,60.6,150,48%,35%,65%,691200,72.0,37.2637,-77.3012,MODERATE
841,712,13,Hopewell,60.6,150,48%,35%,65%,691200,72.0,37.2637,-77.3012,MODERATE
842,713,13,Hopewell,60.6,150,48%,35%,65%,691200,72.0,37.2637,-77.3012,MODERATE
