Rank,Route_ID,Zone_ID,Location,Score,Households,Conversion_Rate,Saturation,Freshness,Daily_kWh,Expected_Closes,Latitude,Longitude,Priority
149,864,22,Arlington,81.6,150,40%,5%,95%,576000,60.0,38.8429,-77.0719,FRESH
150,865,22,Arlington,81.6,150,40%,5%,95%,576000,60.0,38.8429,-77.0719,FRESH
151,866,22,Arlington,81.6,150,40%,5%,95%,576000,60.0,38.8429,-77.0719,FRESH
152,867,22,Arlington,81.6,150,40%,5%,95%,576000,60.0,38.8429,-77.0719,FRESH
153,868,22,Arlington,81.6,150,40%,5%,95%,576000,60.0,38.8429,-77.0719,FRESH
154,869,22,Arlington,81.6,150,40%,5%,95%,576000,60.0,38.8429,-77.0719,FRESH
155,870,22,Arlington,81.6,150,40%,5%,95%,576000,60.0,38.8429,-77.0719,FRESH
156,1369,188,Fairfax,81.2,150,35%,5%,95%,504000,52.5,38.6987,-77.2166,FRESH
157,1417,226,Alexandria,81.0,150,40%,5%,95%,576000,60.0,38.8116,-77.0401,FRESH
158,1345,171,Fairfax,80.9,150,35%,5%,95%,504000,52.5,38.8553,-77.2309,FRESH
159,1377,194,Herndon,80.7,150,35%,5%,95%,504000,52.5,38.9476,-77.4095,FRESH
160,1490,282,Charlottesville,80.3,150,38%,15%,85%,547200,57.0,38.0673,-78.5001,FRESH
161,1491,282,Charlottesville,80.3,150,38%,15%,85%,547200,57.0,38.0673,-78.5001,FRESH
162,973,35,Arlington,80.3,150,40%,5%,95%,576000,60.0,38.8697,-77.1506,FRESH
163,974,35,Arlington,80.3,150,40%,5%,95%,576000,60.0,38.8697,-77.1506,FRESH
164,975,35,Arlington,80.3,150,40%,5%,95%,576000,60.0,38.8697,-77.1506,FRESH
165,976,35,Arlington,80.3,150,40%,5%,95%,576000,60.0,38.8697,-77.1506,FRESH
166,977,35,Arlington,80.3,150,40%,5%,95%,576000,60.0,38.8697,-77.1506,FRESH
167,978,35,Arlington,80.3,150,40%,5%,95%,576000,60.0,38.8697,-77.1506,FRESH
168,979,35,Arlington,80.3,150,40%,5%,95%,576000,60.0,38.8697,-77.1506,FRESH
169,980,35,Arlington,80.3,150,40%,5%,95%,576000,60.0,38.8697,-77.1506,FRESH
170,981,35,Arlington,80.3,150,40%,5%,95%,576000,60.0,38.8697,-77.1506,FRESH
171,982,35,Arlington,80.3,150,40%,5%,95%,576000,60.0,38.8697,-77.1506,FRESH
172,983,35,Arlington,80.3,150,40%,5%,95%,576000,60.0,38.8697,-77.1506,FRESH
173,1337,165,Fairfax,79.8,150,35%,5%,95%,504000,52.5,38.8679,-77.3804,FRESH
174,1346,172,Fairfax,79.6,150,35%,5%,95%,504000,52.5,38.8603,-77.3678,FRESH
175,1347,172,Fairfax,79.6,150,35%,5%,95%,504000,52.5,38.8603,-77.3678,FRESH
176,1230,104,Alexandria,79.5,150,40%,5%,95%,576000,60.0,38.7588,-77.0802,FRESH
177,1231,104,Alexandria,79.5,150,40%,5%,95%,576000,60.0,38.7588,-77.0802,FRESH
178,1232,104,Alexandria,79.5,150,40%,5%,95%,576000,60.0,38.7588,-77.0802,FRESH
179,1233,104,Alexandria,79.5,150,40%,5%,95%,576000,60.0,38.7588,-77.0802,FRESH
180,1234,104,Alexandria,79.5,150,40%,5%,95%,576000,60.0,38.7588,-77.0802,FRESH
181,1494,284,Sterling,79.4,150,35%,5%,95%,504000,52.5,39.0069,-77.4871,FRESH
182,1401,213,Herndon,78.4,150,35%,5%,95%,504000,52.5,38.9664,-77.3929,FRESH
183,1402,213,Herndon,78.4,150,35%,5%,95%,504000,52.5,38.9664,-77.3929,FRESH
184,1283,122,Fairfax,77.8,150,35%,5%,95%,504000,52.5,38.8222,-77.2178,FRESH
185,1284,122,Fairfax,77.8,150,35%,5%,95%,504000,52.5,38.8222,-77.2178,FRESH
186,1285,122,Fairfax,77.8,150,35%,5%,95%,504000,52.5,38.8222,-77.2178,FRESH
187,1286,122,Fairfax,77.8,150,35%,5%,95%,504000,52.5,38.8222,-77.2178,FRESH
188,1378,195,Manassas,76.9,150,40%,5%,95%,576000,60.0,38.8373,-77.4209,FRESH
189,1379,195,Manassas,76.9,150,40%,5%,95%,576000,60.0,38.8373,-77.4209,FRESH
190,1382,197,Fairfax,76.4,150,35%,5%,95%,504000,52.5,38.8508,-77.3509,FRESH
191,1485,279,Charlottesville,76.0,150,38%,15%,85%,547200,57.0,38.0804,-78.4893,FRESH
192,1486,279,Charlottesville,76.0,150,38%,15%,85%,547200,57.0,38.0804,-78.4893,FRESH
193,1441,247,Fairfax,75.9,150,35%,5%,95%,504000,52.5,38.8665,-77.3082,FRESH
194,1442,247,Fairfax,75.9,150,35%,5%,95%,504000,52.5,38.8665,-77.3082,FRESH
195,1325,156,Rural,75.9,150,45%,5%,95%,648000,67.5,37.7800,-79.4409,FRESH
196,1326,156,Rural,75.9,150,45%,5%,95%,648000,67.5,37.7800,-79.4409,FRESH
197,1340,168,Fairfax,75.6,150,35%,5%,95%,504000,52.5,38.8773,-77.2241,FRESH
198,1430,237,Arlington,75.4,150,40%,5%,95%,576000,60.0,38.8591,-77.0879,FRESH
199,1358,180,Rural,75.2,150,45%,5%,95%,648000,67.5,38.1709,-79.0791,FRESH
200,1359,180,Rural,75.2,150,45%,5%,95%,648000,67.5,38.1709,-79.0791,FRESH
201,1247,110,Manassas,75.1,150,40%,5%,95%,576000,60.0,38.7486,-77.4824,FRESH
202,1248,110,Manassas,75.1,150,40%,5%,95%,576000,60.0,38.7486,-77.4824,FRESH
203,1249,110,Manassas,75.1,150,40%,5%,95%,576000,60.0,38.7486,-77.4824,FRESH
204,1250,110,Manassas,75.1,150,40%,5%,95%,576000,60.0,38.7486,-77.4824,FRESH
205,772,17,Alexandria,74.9,150,40%,5%,95%,576000,60.0,38.7339,-77.1007,FRESH
206,773,17,Alexandria,74.9,150,40%,5%,95%,576000,60.0,38.7339,-77.1007,FRESH
207,774,17,Alexandria,74.9,150,40%,5%,95%,576000,60.0,38.7339,-77.1007,FRESH
208,775,17,Alexandria,74.9,150,40%,5%,95%,576000,60.0,38.7339,-77.1007,FRESH
209,776,17,Alexandria,74.9,150,40%,5%,95%,576000,60.0,38.7339,-77.1007,FRESH
210,777,17,Alexandria,74.9,150,40%,5%,95%,576000,60.0,38.7339,-77.1007,FRESH
211,778,17,Alexandria,74.9,150,40%,5%,95%,576000,60.0,38.7339,-77.1007,FRESH
212,779,17,Alexandria,74.9,150,40%,5%,95%,576000,60.0,38.7339,-77.1007,FRESH
213,780,17,Alexandria,74.9,150,40%,5%,95%,576000,60.0,38.7339,-77.1007,FRESH
214,781,17,Alexandria,74.9,150,40%,5%,95%,576000,60.0,38.7339,-77.1007,FRESH
215,782,17,Alexandria,74.9,150,40%,5%,95%,576000,60.0,38.7339,-77.1007,FRESH
216,783,17,Alexandria,74.9,150,40%,5%,95%,576000,60.0,38.7339,-77.1007,FRESH
217,784,17,Alexandria,74.9,150,40%,5%,95%,576000,60.0,38.7339,-77.1007,FRESH
218,785,17,Alexandria,74.9,150,40%,5%,95%,576000,60.0,38.7339,-77.1007,FRESH
219,786,17,Alexandria,74.9,150,40%,5%,95%,576000,60.0,38.7339,-77.1007,FRESH
220,787,17,Alexandria,74.9,150,40%,5%,95%,576000,60.0,38.7339,-77.1007,FRESH
221,788,17,Alexandria,74.9,150,40%,5%,95%,576000,60.0,38.7339,-77.1007,FRESH
222,789,17,Alexandria,74.9,150,40%,5%,95%,576000,60.0,38.7339,-77.1007,FRESH
223,790,17,Alexandria,74.9,150,40%,5%,95%,576000,60.0,38.7339,-77.1007,FRESH
224,791,17,Alexandria,74.9,150,40%,5%,95%,576000,60.0,38.7339,-77.1007,FRESH
225,792,17,Alexandria,74.9,150,40%,5%,95%,576000,60.0,38.7339,-77.1007,FRESH
226,793,17,Alexandria,74.9,150,40%,5%,95%,576000,60.0,38.7339,-77.1007,FRESH
227,794,17,Alexandria,74.9,150,40%,5%,95%,576000,60.0,38.7339,-77.1007,FRESH
228,1155,75,Rural,74.8,150,45%,5%,95%,648000,67.5,37.2836,-76.6839,FRESH
229,1156,75,Rural,74.8,150,45%,5%,95%,648000,67.5,37.2836,-76.6839,FRESH
230,1157,75,Rural,74.8,150,45%,5%,95%,648000,67.5,37.2836,-76.6839,FRESH
231,1407,217,Alexandria,74.3,150,40%,5%,95%,576000,60.0,38.7917,-77.0793,FRESH
232,1439,246,Fairfax,74.0,150,35%,5%,95%,504000,52.5,38.7075,-77.2079,FRESH
233,1440,246,Fairfax,74.0,150,35%,5%,95%,504000,52.5,38.7075,-77.2079,FRESH
234,1354,178,Rural,72.8,150,45%,5%,95%,648000,67.5,37.7501,-79.3462,FRESH
235,1355,178,Rural,72.8,150,45%,5%,95%,648000,67.5,37.7501,-79.3462,FRESH
236,999,38,Sterling,72.6,150,35%,5%,95%,504000,52.5,39.1075,-77.5487,FRESH
237,1000,38,Sterling,72.6,150,35%,5%,95%,504000,52.5,39.1075,-77.5487,FRESH
238,1001,38,Sterling,72.6,150,35%,5%,95%,504000,52.5,39.1075,-77.5487,FRESH
239,1002,38,Sterling,72.6,150,35%,5%,95%,504000,52.5,39.1075,-77.5487,FRESH
240,1003,38,Sterling,72.6,150,35%,5%,95%,504000,52.5,39.1075,-77.5487,FRESH
241,1004,38,Sterling,72.6,150,35%,5%,95%,504000,52.5,39.1075,-77.5487,FRESH
242,1005,38,Sterling,72.6,150,35%,5%,95%,504000,52.5,39.1075,-77.5487,FRESH
243,1006,38,Sterling,72.6,150,35%,5%,95%,504000,52.5,39.1075,-77.5487,FRESH
244,1400,212,Sterling,72.5,150,35%,5%,95%,504000,52.5,38.9973,-77.4183,FRESH
245,1356,179,Rural,72.5,150,45%,5%,95%,648000,67.5,38.1659,-79.0713,FRESH
246,1357,179,Rural,72.5,150,45%,5%,95%,648000,67.5,38.1659,-79.0713,FRESH
247,1352,177,Rural,72.3,150,45%,5%,95%,648000,67.5,37.7281,-79.3471,FRESH
248,1353,177,Rural,72.3,150,45%,5%,95%,648000,67.5,37.7281,-79.3471,FRESH
249,1436,243,Rural,72.2,150,45%,5%,95%,648000,67.5,38.4518,-78.0143,FRESH
250,1341,169,Arlington,71.9,150,40%,5%,95%,576000,60.0,38.7977,-77.1643,FRESH
251,1342,169,Arlington,71.9,150,40%,5%,95%,576000,60.0,38.7977,-77.1643,FRESH
252,945,32,Manassas,71.7,150,40%,5%,95%,576000,60.0,38.6456,-77.3403,FRESH
253,946,32,Manassas,71.7,150,40%,5%,95%,576000,60.0,38.6456,-77.3403,FRESH
254,947,32,Manassas,71.7,150,40%,5%,95%,576000,60.0,38.6456,-77.3403,FRESH
255,948,32,Manassas,71.7,150,40%,5%,95%,576000,60.0,38.6456,-77.3403,FRESH
256,949,32,Manassas,71.7,150,40%,5%,95%,576000,60.0,38.6456,-77.3403,FRESH
257,950,32,Manassas,71.7,150,40%,5%,95%,576000,60.0,38.6456,-77.3403,FRESH
258,951,32,Manassas,71.7,150,40%,5%,95%,576000,60.0,38.6456,-77.3403,FRESH
259,952,32,Manassas,71.7,150,40%,5%,95%,576000,60.0,38.6456,-77.3403,FRESH
260,953,32,Manassas,71.7,150,40%,5%,95%,576000,60.0,38.6456,-77.3403,FRESH
261,954,32,Manassas,71.7,150,40%,5%,95%,576000,60.0,38.6456,-77.3403,FRESH
262,1339,167,Rural,71.4,150,45%,5%,95%,648000,67.5,38.1537,-79.0800,FRESH
263,1183,87,Rural,71.2,150,45%,5%,95%,648000,67.5,37.8174,-79.8335,FRESH
264,1184,87,Rural,71.2,150,45%,5%,95%,648000,67.5,37.8174,-79.8335,FRESH
265,1185,87,Rural,71.2,150,45%,5%,95%,648000,67.5,37.8174,-79.8335,FRESH
266,1252,112,Arlington,71.2,150,40%,5%,95%,576000,60.0,38.9181,-77.2066,FRESH
267,1253,112,Arlington,71.2,150,40%,5%,95%,576000,60.0,38.9181,-77.2066,FRESH
268,1254,112,Arlington,71.2,150,40%,5%,95%,576000,60.0,38.9181,-77.2066,FRESH
269,1243,109,Manassas,71.1,150,40%,5%,95%,576000,60.0,38.7501,-77.4619,FRESH
270,1244,109,Manassas,71.1,150,40%,5%,95%,576000,60.0,38.7501,-77.4619,FRESH
271,1245,109,Manassas,71.1,150,40%,5%,95%,576000,60.0,38.7501,-77.4619,FRESH
272,1246,109,Manassas,71.1,150,40%,5%,95%,576000,60.0,38.7501,-77.4619,FRESH
273,1487,280,Charlottesville,71.1,150,38%,15%,85%,547200,57.0,38.0360,-78.4493,FRESH
274,1488,280,Charlottesville,71.1,150,38%,15%,85%,547200,57.0,38.0360,-78.4493,FRESH
275,1327,157,Rural,71.0,150,45%,5%,95%,648000,67.5,37.2667,-78.5706,FRESH
276,1328,157,Rural,71.0,150,45%,5%,95%,648000,67.5,37.2667,-78.5706,FRESH
277,1310,144,Fairfax,70.7,150,35%,5%,95%,504000,52.5,38.7820,-77.1898,FRESH
278,1311,144,Fairfax,70.7,150,35%,5%,95%,504000,52.5,38.7820,-77.1898,FRESH
279,824,20,Rural,70.6,150,45%,5%,95%,648000,67.5,38.0614,-78.8911,FRESH
280,825,20,Rural,70.6,150,45%,5%,95%,648000,67.5,38.0614,-78.8911,FRESH
281,826,20,Rural,70.6,150,45%,5%,95%,648000,67.5,38.0614,-78.8911,FRESH
282,827,20,Rural,70.6,150,45%,5%,95%,648000,67.5,38.0614,-78.8911,FRESH
283,828,20,Rural,70.6,150,45%,5%,95%,648000,67.5,38.0614,-78.8911,FRESH
284,829,20,Rural,70.6,150,45%,5%,95%,648000,67.5,38.0614,-78.8911,FRESH
285,830,20,Rural,70.6,150,45%,5%,95%,648000,67.5,38.0614,-78.8911,FRESH
286,831,20,Rural,70.6,150,45%,5%,95%,648000,67.5,38.0614,-78.8911,FRESH
287,832,20,Rural,70.6,150,45%,5%,95%,648000,67.5,38.0614,-78.8911,FRESH
288,833,20,Rural,70.6,150,45%,5%,95%,648000,67.5,38.0614,-78.8911,FRESH
289,834,20,Rural,70.6,150,45%,5%,95%,648000,67.5,38.0614,-78.8911,FRESH
290,835,20,Rural,70.6,150,45%,5%,95%,648000,67.5,38.0614,-78.8911,FRESH
291,836,20,Rural,70.6,150,45%,5%,95%,648000,67.5,38.0614,-78.8911,FRESH
292,837,20,Rural,70.6,150,45%,5%,95%,648000,67.5,38.0614,-78.8911,FRESH
293,838,20,Rural,70.6,150,45%,5%,95%,648000,67.5,38.0614,-78.8911,FRESH
294,839,20,Rural,70.6,150,45%,5%,95%,648000,67.5,38.0614,-78.8911,FRESH
295,840,20,Rural,70.6,150,45%,5%,95%,648000,67.5,38.0614,-78.8911,FRESH
296,1112,64,Manassas,70.6,150,40%,5%,95%,576000,60.0,38.6429,-77.3145,FRESH
297,1113,64,Manassas,70.6,150,40%,5%,95%,576000,60.0,38.6429,-77.3145,FRESH
298,1114,64,Manassas,70.6,150,40%,5%,95%,576000,60.0,38.6429,-77.3145,FRESH
299,1115,64,Manassas,70.6,150,40%,5%,95%,576000,60.0,38.6429,-77.3145,FRESH
300,1116,64,Manassas,70.6,150,40%,5%,95%,576000,60.0,38.6429,-77.3145,FRESH
301,1197,94,Sterling,70.5,150,35%,5%,95%,504000,52.5,39.0006,-77.4010,FRESH
302,1198,94,Sterling,70.5,150,35%,5%,95%,504000,52.5,39.0006,-77.4010,FRESH
303,1199,94,Sterling,70.5,150,35%,5%,95%,504000,52.5,39.0006,-77.4010,FRESH
304,1200,94,Sterling,70.5,150,35%,5%,95%,504000,52.5,39.0006,-77.4010,FRESH
305,1026,44,Fairfax,70.3,150,35%,5%,95%,504000,52.5,38.8679,-77.2037,FRESH
306,1027,44,Fairfax,70.3,150,35%,5%,95%,504000,52.5,38.8679,-77.2037,FRESH
307,1028,44,Fairfax,70.3,150,35%,5%,95%,504000,52.5,38.8679,-77.2037,FRESH
308,1029,44,Fairfax,70.3,150,35%,5%,95%,504000,52.5,38.8679,-77.2037,FRESH
309,1030,44,Fairfax,70.3,150,35%,5%,95%,504000,52.5,38.8679,-77.2037,FRESH
310,1031,44,Fairfax,70.3,150,35%,5%,95%,504000,52.5,38.8679,-77.2037,FRESH
311,1032,44,Fairfax,70.3,150,35%,5%,95%,504000,52.5,38.8679,-77.2037,FRESH
312,1334,163,Rural,70.3,150,45%,5%,95%,648000,67.5,38.4591,-78.8844,FRESH
313,1335,163,Rural,70.3,150,45%,5%,95%,648000,67.5,38.4591,-78.8844,FRESH
314,963,34,Fairfax,70.2,150,35%,5%,95%,504000,52.5,38.8325,-77.2051,FRESH
315,964,34,Fairfax,70.2,150,35%,5%,95%,504000,52.5,38.8325,-77.2051,FRESH
316,965,34,Fairfax,70.2,150,35%,5%,95%,504000,52.5,38.8325,-77.2051,FRESH
317,966,34,Fairfax,70.2,150,35%,5%,95%,504000,52.5,38.8325,-77.2051,FRESH
318,967,34,Fairfax,70.2,150,35%,5%,95%,504000,52.5,38.8325,-77.2051,FRESH
319,968,34,Fairfax,70.2,150,35%,5%,95%,504000,52.5,38.8325,-77.2051,FRESH
320,969,34,Fairfax,70.2,150,35%,5%,95%,504000,52.5,38.8325,-77.2051,FRESH
321,970,34,Fairfax,70.2,150,35%,5%,95%,504000,52.5,38.8325,-77.2051,FRESH
322,971,34,Fairfax,70.2,150,35%,5%,95%,504000,52.5,38.8325,-77.2051,FRESH
323,972,34,Fairfax,70.2,150,35%,5%,95%,504000,52.5,38.8325,-77.2051,FRESH
324,1299,134,Rural,70.2,150,45%,5%,95%,648000,67.5,38.2591,-76.9706,FRESH
325,1419,228,Rural,70.1,150,45%,5%,95%,648000,67.5,37.0443,-78.9367,FRESH
326,1420,228,Rural,70.1,150,45%,5%,95%,648000,67.5,37.0443,-78.9367,FRESH
327,1181,86,Richmond,70.1,150,41%,60%,40%,590400,61.5,37.6055,-77.4270,SATURATED
328,1182,86,Richmond,70.1,150,41%,60%,40%,590400,61.5,37.6055,-77.4270,SATURATED
329,1126,68,Rural,70.1,150,45%,5%,95%,648000,67.5,36.9925,-77.0593,FRESH
330,1127,68,Rural,70.1,150,45%,5%,95%,648000,67.5,36.9925,-77.0593,FRESH
331,1128,68,Rural,70.1,150,45%,5%,95%,648000,67.5,36.9925,-77.0593,FRESH
332,1129,68,Rural,70.1,150,45%,5%,95%,648000,67.5,36.9925,-77.0593,FRESH
333,1130,68,Rural,70.1,150,45%,5%,95%,648000,67.5,36.9925,-77.0593,FRESH
334,1131,68,Rural,70.1,150,45%,5%,95%,648000,67.5,36.9925,-77.0593,FRESH
335,1132,68,Rural,70.1,150,45%,5%,95%,648000,67.5,36.9925,-77.0593,FRESH
336,1133,69,Alexandria,70.0,150,40%,5%,95%,576000,60.0,38.7276,-77.1315,FRESH
337,1134,69,Alexandria,70.0,150,40%,5%,95%,576000,60.0,38.7276,-77.1315,FRESH
338,1135,69,Alexandria,70.0,150,40%,5%,95%,576000,60.0,38.7276,-77.1315,FRESH
339,1136,69,Alexandria,70.0,150,40%,5%,95%,576000,60.0,38.7276,-77.1315,FRESH
340,1137,69,Alexandria,70.0,150,40%,5%,95%,576000,60.0,38.7276,-77.1315,FRESH
341,1138,69,Alexandria,70.0,150,40%,5%,95%,576000,60.0,38.7276,-77.1315,FRESH
342,1383,198,Rural,70.0,150,45%,5%,95%,648000,67.5,37.2721,-76.7262,FRESH
343,1384,198,Rural,70.0,150,45%,5%,95%,648000,67.5,37.2721,-76.7262,FRESH
344,1262,115,Rural,69.9,150,45%,5%,95%,648000,67.5,37.3241,-76.7247,FRESH
345,1263,115,Rural,69.9,150,45%,5%,95%,648000,67.5,37.3241,-76.7247,FRESH
346,1264,115,Rural,69.9,150,45%,5%,95%,648000,67.5,37.3241,-76.7247,FRESH
347,1265,115,Rural,69.9,150,45%,5%,95%,648000,67.5,37.3241,-76.7247,FRESH
348,1219,101,Rural,69.9,150,45%,5%,95%,648000,67.5,37.1726,-78.1393,FRESH
349,1220,101,Rural,69.9,150,45%,5%,95%,648000,67.5,37.1726,-78.1393,FRESH
350,1221,101,Rural,69.9,150,45%,5%,95%,648000,67.5,37.1726,-78.1393,FRESH
351,1222,101,Rural,69.9,150,45%,5%,95%,648000,67.5,37.1726,-78.1393,FRESH
352,1450,254,Rural,69.7,150,45%,5%,95%,648000,67.5,37.7916,-79.9800,FRESH
353,1451,254,Rural,69.7,150,45%,5%,95%,648000,67.5,37.7916,-79.9800,FRESH
354,1139,70,Rural,69.6,150,45%,5%,95%,648000,67.5,37.0925,-79.2918,FRESH
355,1140,70,Rural,69.6,150,45%,5%,95%,648000,67.5,37.0925,-79.2918,FRESH
356,1141,70,Rural,69.6,150,45%,5%,95%,648000,67.5,37.0925,-79.2918,FRESH
357,1142,70,Rural,69.6,150,45%,5%,95%,648000,67.5,37.0925,-79.2918,FRESH
358,1143,70,Rural,69.6,150,45%,5%,95%,648000,67.5,37.0925,-79.2918,FRESH
359,1144,70,Rural,69.6,150,45%,5%,95%,648000,67.5,37.0925,-79.2918,FRESH
360,1380,196,Rural,69.6,150,45%,5%,95%,648000,67.5,38.3397,-77.0324,FRESH
361,1381,196,Rural,69.6,150,45%,5%,95%,648000,67.5,38.3397,-77.0324,FRESH
362,1426,234,Rural,69.5,150,45%,5%,95%,648000,67.5,37.9222,-76.8691,FRESH
363,1427,234,Rural,69.5,150,45%,5%,95%,648000,67.5,37.9222,-76.8691,FRESH
364,1321,152,Manassas,69.5,150,40%,5%,95%,576000,60.0,38.6756,-77.3269,FRESH
365,1216,100,Alexandria,69.5,150,40%,5%,95%,576000,60.0,38.7690,-77.0702,FRESH
366,1217,100,Alexandria,69.5,150,40%,5%,95%,576000,60.0,38.7690,-77.0702,FRESH
367,1218,100,Alexandria,69.5,150,40%,5%,95%,576000,60.0,38.7690,-77.0702,FRESH
368,890,25,Rural,69.4,150,45%,5%,95%,648000,67.5,37.4121,-78.4291,FRESH
369,891,25,Rural,69.4,150,45%,5%,95%,648000,67.5,37.4121,-78.4291,FRESH
370,892,25,Rural,69.4,150,45%,5%,95%,648000,67.5,37.4121,-78.4291,FRESH
371,893,25,Rural,69.4,150,45%,5%,95%,648000,67.5,37.4121,-78.4291,FRESH
372,894,25,Rural,69.4,150,45%,5%,95%,648000,67.5,37.4121,-78.4291,FRESH
373,895,25,Rural,69.4,150,45%,5%,95%,648000,67.5,37.4121,-78.4291,FRESH
374,896,25,Rural,69.4,150,45%,5%,95%,648000,67.5,37.4121,-78.4291,FRESH
375,897,25,Rural,69.4,150,45%,5%,95%,648000,67.5,37.4121,-78.4291,FRESH
376,898,25,Rural,69.4,150,45%,5%,95%,648000,67.5,37.4121,-78.4291,FRESH
377,899,25,Rural,69.4,150,45%,5%,95%,648000,67.5,37.4121,-78.4291,FRESH
378,900,25,Rural,69.4,150,45%,5%,95%,648000,67.5,37.4121,-78.4291,FRESH
379,901,25,Rural,69.4,150,45%,5%,95%,648000,67.5,37.4121,-78.4291,FRESH
380,902,25,Rural,69.4,150,45%,5%,95%,648000,67.5,37.4121,-78.4291,FRESH
381,910,28,Manassas,69.4,150,40%,5%,95%,576000,60.0,38.5682,-77.3209,FRESH
382,911,28,Manassas,69.4,150,40%,5%,95%,576000,60.0,38.5682,-77.3209,FRESH
383,912,28,Manassas,69.4,150,40%,5%,95%,576000,60.0,38.5682,-77.3209,FRESH
384,913,28,Manassas,69.4,150,40%,5%,95%,576000,60.0,38.5682,-77.3209,FRESH
385,914,28,Manassas,69.4,150,40%,5%,95%,576000,60.0,38.5682,-77.3209,FRESH
386,915,28,Manassas,69.4,150,40%,5%,95%,576000,60.0,38.5682,-77.3209,FRESH
387,916,28,Manassas,69.4,150,40%,5%,95%,576000,60.0,38.5682,-77.3209,FRESH
388,917,28,Manassas,69.4,150,40%,5%,95%,576000,60.0,38.5682,-77.3209,FRESH
389,918,28,Manassas,69.4,150,40%,5%,95%,576000,60.0,38.5682,-77.3209,FRESH
390,919,28,Manassas,69.4,150,40%,5%,95%,576000,60.0,38.5682,-77.3209,FRESH
391,920,28,Manassas,69.4,150,40%,5%,95%,576000,60.0,38.5682,-77.3209,FRESH
392,921,28,Manassas,69.4,150,40%,5%,95%,576000,60.0,38.5682,-77.3209,FRESH
393,1467,267,Rural,69.2,150,45%,5%,95%,648000,67.5,38.8836,-78.4836,FRESH
394,1468,267,Rural,69.2,150,45%,5%,95%,648000,67.5,38.8836,-78.4836,FRESH
395,1307,141,Fredericksburg,69.2,150,49%,30%,70%,705600,73.5,38.3676,-77.4939,MODERATE
396,1495,285,Rural,69.2,150,45%,5%,95%,648000,67.5,37.3120,-76.7842,FRESH
397,1329,158,Sterling,69.0,150,35%,5%,95%,504000,52.5,39.0758,-77.4862,FRESH
398,871,23,Rural,68.9,150,45%,5%,95%,648000,67.5,38.1504,-79.1129,FRESH
399,872,23,Rural,68.9,150,45%,5%,95%,648000,67.5,38.1504,-79.1129,FRESH
400,873,23,Rural,68.9,150,45%,5%,95%,648000,67.5,38.1504,-79.1129,FRESH
401,874,23,Rural,68.9,150,45%,5%,95%,648000,67.5,38.1504,-79.1129,FRESH
402,875,23,Rural,68.9,150,45%,5%,95%,648000,67.5,38.1504,-79.1129,FRESH
403,876,23,Rural,68.9,150,45%,5%,95%,648000,67.5,38.1504,-79.1129,FRESH
404,877,23,Rural,68.9,150,45%,5%,95%,648000,67.5,38.1504,-79.1129,FRESH
405,878,23,Rural,68.9,150,45%,5%,95%,648000,67.5,38.1504,-79.1129,FRESH
406,879,23,Rural,68.9,150,45%,5%,95%,648000,67.5,38.1504,-79.1129,FRESH
407,880,23,Rural,68.9,150,45%,5%,95%,648000,67.5,38.1504,-79.1129,FRESH
408,881,23,Rural,68.9,150,45%,5%,95%,648000,67.5,38.1504,-79.1129,FRESH
409,1365,186,Rural,68.8,150,45%,5%,95%,648000,67.5,37.6745,-79.5133,FRESH
410,1366,186,Rural,68.8,150,45%,5%,95%,648000,67.5,37.6745,-79.5133,FRESH
411,1370,189,Rural,68.7,150,45%,5%,95%,648000,67.5,37.8477,-76.6716,FRESH
412,1371,189,Rural,68.7,150,45%,5%,95%,648000,67.5,37.8477,-76.6716,FRESH
413,599,9,Fairfax,68.7,150,35%,5%,95%,504000,52.5,38.6353,-77.2750,FRESH
414,600,9,Fairfax,68.7,150,35%,5%,95%,504000,52.5,38.6353,-77.2750,FRESH
415,601,9,Fairfax,68.7,150,35%,5%,95%,504000,52.5,38.6353,-77.2750,FRESH
416,602,9,Fairfax,68.7,150,35%,5%,95%,504000,52.5,38.6353,-77.2750,FRESH
417,603,9,Fairfax,68.7,150,35%,5%,95%,504000,52.5,38.6353,-77.2750,FRESH
418,604,9,Fairfax,68.7,150,35%,5%,95%,504000,52.5,38.6353,-77.2750,FRESH
419,605,9,Fairfax,68.7,150,35%,5%,95%,504000,52.5,38.6353,-77.2750,FRESH
420,606,9,Fairfax,68.7,150,35%,5%,95%,504000,52.5,38.6353,-77.2750,FRESH
421,607,9,Fairfax,68.7,150,35%,5%,95%,504000,52.5,38.6353,-77.2750,FRESH
422,608,9,Fairfax,68.7,150,35%,5%,95%,504000,52.5,38.6353,-77.2750,FRESH
423,609,9,Fairfax,68.7,150,35%,5%,95%,504000,52.5,38.6353,-77.2750,FRESH
424,610,9,Fairfax,68.7,150,35%,5%,95%,504000,52.5,38.6353,-77.2750,FRESH
425,611,9,Fairfax,68.7,150,35%,5%,95%,504000,52.5,38.6353,-77.2750,FRESH
426,612,9,Fairfax,68.7,150,35%,5%,95%,504000,52.5,38.6353,-77.2750,FRESH
427,613,9,Fairfax,68.7,150,35%,5%,95%,504000,52.5,38.6353,-77.2750,FRESH
428,614,9,Fairfax,68.7,150,35%,5%,95%,504000,52.5,38.6353,-77.2750,FRESH
429,615,9,Fairfax,68.7,150,35%,5%,95%,504000,52.5,38.6353,-77.2750,FRESH
