Rank,Zone_ID,Location,Score,Daily_kWh,Census_Blocks,LMI_Pct,Qualifying_Households,Area_km2,Latitude,Longitude,Tier
63,19,Richmond,59.9,48000,9,74%,3313,5.89,37.6038,-77.5814,Tier2
64,246,Fairfax,59.6,48000,1,74%,372,0.39,38.7075,-77.2079,Tier2
65,88,Newport News,59.5,48000,2,61%,612,1.12,37.1637,-76.5688,Tier2
66,124,Chesapeake,59.4,48000,2,75%,749,3.93,36.7507,-76.2843,Tier2
67,75,Rural (37.28°N),59.3,48000,2,59%,587,0.97,37.2836,-76.6839,Tier2
68,141,Fredericksburg,58.9,48000,1,78%,388,0.63,38.3676,-77.4939,Tier2
69,27,Richmond,58.9,48000,6,63%,1903,3.44,37.6169,-77.6339,Tier2
70,64,Manassas,58.7,48000,3,60%,898,1.77,38.6429,-77.3145,Tier2
71,56,Norfolk,58.7,48000,3,60%,895,1.75,36.8786,-76.2237,Tier2
72,57,Fairfax,58.6,48000,3,59%,883,1.68,38.8595,-77.2805,Tier2
73,144,Fairfax,58.6,48000,1,77%,386,0.63,38.7820,-77.1898,Tier2
74,72,Colonial Heights,58.5,48000,2,64%,640,1.85,37.3598,-77.4535,Tier2
75,286,Newport News,58.2,48000,1,80%,401,1.37,37.2600,-76.6706,Tier2
76,112,Arlington,57.9,48000,2,55%,551,0.96,38.9181,-77.2066,Tier2
77,91,Richmond,57.6,48000,2,61%,612,1.76,37.6432,-77.4690,Tier2
78,178,Rural (37.75°N),57.5,48000,1,85%,424,4.37,37.7501,-79.3462,Tier2
79,156,Rural (37.78°N),57.4,48000,1,76%,381,0.70,37.7800,-79.4409,Tier2
80,100,Alexandria,57.3,48000,2,58%,576,1.31,38.7690,-77.0702,Tier2
81,47,Herndon,57.2,48000,3,88%,1321,10.73,38.8950,-77.4531,Tier2
82,26,Portsmouth,57.1,48000,6,64%,1927,4.38,36.8707,-76.3978,Tier2
83,87,Rural (37.82°N),57.1,48000,2,61%,607,1.90,37.8174,-79.8335,Tier2
84,95,Sterling,56.8,48000,2,58%,583,1.58,39.0573,-77.4419,Tier2
85,210,Fredericksburg,56.7,48000,1,78%,388,1.17,38.3195,-77.4970,Tier2
86,105,Richmond,56.3,48000,2,69%,690,4.44,37.4438,-77.5951,Tier2
87,107,Portsmouth,55.9,48000,2,59%,594,2.20,36.8735,-76.4257,Tier2
88,28,Manassas,55.9,48000,6,66%,1981,5.50,38.5682,-77.3209,Tier2
89,159,Fredericksburg,55.8,48000,1,73%,366,0.62,38.4642,-77.4156,Tier2
90,117,Fredericksburg,55.7,48000,2,77%,766,7.54,38.4048,-77.4281,Tier2
91,121,Fairfax,55.6,48000,2,61%,612,2.74,38.6649,-77.2827,Tier2
92,169,Arlington,55.6,48000,1,74%,370,0.77,38.7977,-77.1643,Tier2
93,257,Norfolk,54.7,48000,1,65%,324,0.31,36.8717,-76.2411,Tier2
94,195,Manassas,54.7,48000,1,66%,328,0.34,38.8373,-77.4209,Tier2
95,221,Arlington,54.6,48000,1,52%,260,0.16,38.8997,-77.2036,Tier2
96,73,Richmond,54.5,48000,2,58%,582,2.69,37.4212,-77.6168,Tier2
97,215,Fredericksburg,54.0,48000,1,74%,372,1.46,38.2776,-77.5293,Tier2
98,49,Norfolk,54.0,48000,3,61%,912,4.20,36.8544,-76.2071,Tier2
99,111,Richmond,53.7,48000,2,56%,564,2.70,37.5955,-77.5022,Tier2
100,168,Fairfax,53.6,48000,1,62%,308,0.28,38.8773,-77.2241,Tier2
101,165,Fairfax,53.5,48000,1,55%,275,0.20,38.8679,-77.3804,Tier2
102,251,Virginia Beach,53.2,48000,1,71%,353,0.74,36.8513,-76.0573,Tier2
103,11,Newport News,53.1,48000,17,70%,5968,11.25,37.0875,-76.4883,Tier2
104,179,Rural (38.17°N),52.9,48000,1,72%,362,1.28,38.1659,-79.0713,Tier2
105,173,Hampton,52.6,48000,1,69%,343,0.62,37.0654,-76.3798,Tier2
106,59,Fredericksburg,52.5,48000,3,59%,887,4.69,38.2673,-77.5657,Tier2
107,120,Manassas,52.3,48000,2,55%,546,3.09,38.7391,-77.5476,Tier2
108,30,Chesapeake,52.1,48000,5,67%,1680,8.31,36.7914,-76.2135,Tier2
109,259,Virginia Beach,52.0,48000,1,65%,324,0.43,36.8280,-76.0917,Tier2
110,180,Rural (38.17°N),51.9,48000,1,67%,336,0.58,38.1709,-79.0791,Tier2
111,250,Alexandria,51.7,48000,1,73%,364,2.38,38.7580,-77.1799,Tier2
112,226,Alexandria,51.6,48000,1,55%,274,0.22,38.8116,-77.0401,Tier2
113,170,Fairfax,51.5,48000,1,71%,353,1.31,38.9296,-77.2200,Tier2
114,209,Newport News,51.4,48000,1,72%,358,1.88,37.2335,-76.5275,Tier2
115,197,Fairfax,51.4,48000,1,56%,282,0.24,38.8508,-77.3509,Tier2
116,45,Richmond,51.1,48000,3,67%,1011,8.60,37.3913,-77.4985,Tier2
117,77,Virginia Beach,51.0,48000,2,56%,556,4.26,36.7910,-76.0166,Tier2
118,8,Charlottesville,50.2,48000,27,75%,10059,16.35,38.0381,-78.5020,Tier2
119,9,Fairfax,49.5,48000,22,67%,7389,13.84,38.6353,-77.2750,Tier3
120,164,Hopewell,49.3,48000,1,68%,340,1.62,37.3107,-77.2803,Tier3
121,231,Newport News,49.1,48000,1,74%,370,5.00,36.9794,-76.6477,Tier3
122,176,Newport News,48.7,48000,1,63%,316,0.63,37.1102,-76.5243,Tier3
123,177,Rural (37.73°N),48.4,48000,1,65%,324,0.88,37.7281,-79.3471,Tier3
124,118,Newport News,48.3,48000,2,57%,574,7.13,37.2231,-76.6094,Tier3
125,137,Chesapeake,48.3,48000,1,57%,285,0.34,36.8062,-76.2048,Tier3
126,271,Richmond,48.2,48000,1,52%,260,0.25,37.5950,-77.6047,Tier3
127,281,Charlottesville,48.1,48000,1,60%,301,0.48,38.0652,-78.5104,Tier3
128,163,Rural (38.46°N),48.0,48000,1,67%,334,1.95,38.4591,-78.8844,Tier3
129,158,Sterling,47.7,48000,1,60%,300,0.49,39.0758,-77.4862,Tier3
130,283,Sterling,47.6,48000,1,66%,328,1.46,39.0292,-77.4106,Tier3
131,15,Norfolk,47.5,48000,12,62%,3696,11.87,36.9155,-76.1745,Tier3
132,253,Virginia Beach,47.5,48000,1,60%,298,0.50,36.8159,-76.0780,Tier3
133,237,Arlington,47.5,48000,1,55%,274,0.32,38.8591,-77.0879,Tier3
134,287,Norfolk,47.4,48000,1,60%,300,0.52,36.8268,-76.1547,Tier3
135,235,Hopewell,47.4,48000,1,65%,324,1.28,37.2778,-77.3228,Tier3
136,198,Rural (37.27°N),47.4,48000,1,71%,356,4.83,37.2721,-76.7262,Tier3
137,67,Virginia Beach,47.2,48000,3,64%,961,10.94,36.7885,-75.9697,Tier3
