Rank,Zone_ID,Location,Adjusted_Score,Freshness_Score,Saturation_Pct,Daily_kWh,Census_Blocks,LMI_Pct,Qualifying_HH,Remaining_HH,Area_km2,Latitude,Longitude,Priority
276,239,Hopewell,33.5,90,10%,48000,1,56%,280,252,62.56,37.3575,-77.1216,LOW
277,129,Rural,33.5,95,5%,48000,1,54%,271,257,117.26,37.6012,-78.2039,LOW
278,208,Rural,32.9,95,5%,48000,1,53%,264,251,52.39,38.5024,-78.1554,LOW
279,154,Danville,32.7,95,5%,48000,1,53%,263,250,89.62,36.8364,-79.4439,LOW
280,227,Rural,32.4,95,5%,48000,1,52%,260,247,30.51,38.6646,-77.8278,LOW
281,229,Lynchburg,32.4,90,10%,48000,1,54%,270,243,252.99,37.1382,-79.0772,LOW
282,230,Lynchburg,32.2,90,10%,48000,1,54%,268,241,34.36,37.2792,-79.1762,LOW
283,143,Rural,31.9,95,5%,48000,1,51%,256,243,40.34,38.0000,-78.8586,LOW
284,204,Rural,31.8,95,5%,48000,1,51%,256,243,87.20,38.3634,-78.0454,LOW
285,181,Henrico,31.6,75,25%,48000,1,58%,289,217,52.50,37.7220,-77.1899,LOW
286,136,Colonial Heights,30.8,85,15%,48000,1,52%,260,221,21.47,37.3123,-77.5960,LOW
287,233,Fredericksburg,30.2,85,15%,48000,1,52%,258,220,75.10,38.0892,-77.4501,LOW
288,127,Chesapeake,29.1,80,20%,48000,1,52%,258,206,44.45,36.5811,-76.1648,LOW
289,130,Newport News,28.1,75,25%,48000,1,52%,258,193,27.98,36.9896,-76.5293,LOW
