Rank,Zone_ID,Location,Adjusted_Score,Freshness_Score,Saturation_Pct,Daily_kWh,Census_Blocks,LMI_Pct,Qualifying_HH,Remaining_HH,Area_km2,Latitude,Longitude,Priority
94,100,Alexandria,57.9,60,40%,48000,2,58%,576,346,1.31,38.7690,-77.0702,GOOD
95,105,Richmond,57.8,65,35%,48000,2,69%,690,448,4.44,37.4438,-77.5951,GOOD
96,30,Chesapeake,57.7,80,20%,48000,5,67%,1680,1344,8.31,36.7914,-76.2135,GOOD
97,11,Newport News,57.7,75,25%,48000,17,70%,5968,4476,11.25,37.0875,-76.4883,GOOD
98,112,Arlington,57.5,55,45%,48000,2,55%,551,303,0.96,38.9181,-77.2066,GOOD
99,121,Fairfax,57.4,65,35%,48000,2,61%,612,398,2.74,38.6649,-77.2827,GOOD
100,177,Rural,57.2,95,5%,48000,1,65%,324,307,0.88,37.7281,-79.3471,GOOD
101,163,Rural,56.8,95,5%,48000,1,67%,334,317,1.95,38.4591,-78.8844,GOOD
102,164,Hopewell,56.8,90,10%,48000,1,68%,340,306,1.62,37.3107,-77.2803,GOOD
103,173,Hampton,56.6,75,25%,48000,1,69%,343,257,0.62,37.0654,-76.3798,GOOD
104,8,Charlottesville,56.6,80,20%,48000,27,75%,10059,8047,16.35,38.0381,-78.5020,GOOD
105,73,Richmond,56.5,65,35%,48000,2,58%,582,378,2.69,37.4212,-77.6168,GOOD
106,198,Rural,56.4,95,5%,48000,1,71%,356,338,4.83,37.2721,-76.7262,GOOD
107,254,Rural,56.1,95,5%,48000,1,68%,340,323,3.29,37.7916,-79.9800,GOOD
108,97,Rural,56.0,95,5%,48000,2,58%,582,553,9.68,38.4202,-78.9129,GOOD
109,111,Richmond,56.0,65,35%,48000,2,56%,564,366,2.70,37.5955,-77.5022,GOOD
110,165,Fairfax,55.8,65,35%,48000,1,55%,275,179,0.20,38.8679,-77.3804,GOOD
111,168,Fairfax,55.7,65,35%,48000,1,62%,308,200,0.28,38.8773,-77.2241,GOOD
112,209,Newport News,55.5,75,25%,48000,1,72%,358,268,1.88,37.2335,-76.5275,GOOD
113,257,Norfolk,55.4,60,40%,48000,1,65%,324,195,0.31,36.8717,-76.2411,GOOD
114,234,Rural,55.4,95,5%,48000,1,66%,329,313,2.69,37.9222,-76.8691,GOOD
115,235,Hopewell,55.4,90,10%,48000,1,65%,324,292,1.28,37.2778,-77.3228,GOOD
116,23,Rural,55.3,95,5%,48000,6,61%,1822,1730,12.51,38.1504,-79.1129,GOOD
117,49,Norfolk,55.1,60,40%,48000,3,61%,912,547,4.20,36.8544,-76.2071,GOOD
118,251,Virginia Beach,55.0,65,35%,48000,1,71%,353,229,0.74,36.8513,-76.0573,GOOD
119,169,Arlington,54.9,55,45%,48000,1,74%,370,204,0.77,38.7977,-77.1643,OK
120,221,Arlington,54.8,55,45%,48000,1,52%,260,143,0.16,38.8997,-77.2036,OK
121,228,Rural,54.6,95,5%,48000,1,74%,370,351,8.83,37.0443,-78.9367,OK
122,137,Chesapeake,54.3,80,20%,48000,1,57%,285,228,0.34,36.8062,-76.2048,OK
123,259,Virginia Beach,54.2,65,35%,48000,1,65%,324,211,0.43,36.8280,-76.0917,OK
124,281,Charlottesville,54.1,80,20%,48000,1,60%,301,241,0.48,38.0652,-78.5104,OK
125,24,Fredericksburg,54.0,85,15%,48000,6,62%,1854,1576,12.04,38.2295,-77.5162,OK
126,51,Ashland,54.0,90,10%,48000,3,62%,930,837,12.61,37.7711,-77.4635,OK
127,243,Rural,54.0,95,5%,48000,1,57%,287,273,0.68,38.4518,-78.0143,OK
128,197,Fairfax,54.0,65,35%,48000,1,56%,282,183,0.24,38.8508,-77.3509,OK
129,45,Richmond,53.9,65,35%,48000,3,67%,1011,657,8.60,37.3913,-77.4985,OK
130,77,Virginia Beach,53.9,65,35%,48000,2,56%,556,361,4.26,36.7910,-76.0166,OK
131,118,Newport News,53.8,75,25%,48000,2,57%,574,430,7.13,37.2231,-76.6094,OK
132,231,Newport News,53.7,75,25%,48000,1,74%,370,277,5.00,36.9794,-76.6477,OK
133,170,Fairfax,53.6,65,35%,48000,1,71%,353,229,1.31,38.9296,-77.2200,OK
134,93,Rural,53.5,95,5%,48000,2,62%,618,587,14.16,38.4989,-78.0088,OK
135,176,Newport News,53.5,75,25%,48000,1,63%,316,237,0.63,37.1102,-76.5243,OK
136,185,Fredericksburg,53.3,85,15%,48000,1,59%,296,251,0.61,38.2930,-77.4373,OK
137,183,Chesapeake,53.3,80,20%,48000,1,58%,290,232,0.45,36.7933,-76.1649,OK
138,134,Rural,53.3,95,5%,48000,1,59%,294,279,1.11,38.2591,-76.9706,OK
139,226,Alexandria,53.2,60,40%,48000,1,55%,274,164,0.22,38.8116,-77.0401,OK
140,9,Fairfax,53.0,65,35%,48000,22,67%,7389,4803,13.84,38.6353,-77.2750,OK
141,128,Chesapeake,53.0,80,20%,48000,1,59%,294,236,0.51,36.7665,-76.2215,OK
142,162,Colonial Heights,52.9,85,15%,48000,1,62%,312,266,1.45,37.3535,-77.4315,OK
143,158,Sterling,52.8,75,25%,48000,1,60%,300,225,0.49,39.0758,-77.4862,OK
144,250,Alexandria,52.7,60,40%,48000,1,73%,364,219,2.38,38.7580,-77.1799,OK
145,283,Sterling,52.5,75,25%,48000,1,66%,328,246,1.46,39.0292,-77.4106,OK
146,20,Rural,52.4,95,5%,48000,8,71%,2832,2690,20.15,38.0614,-78.8911,OK
147,249,Newport News,52.4,75,25%,48000,1,83%,414,311,13.03,37.1334,-76.6004,OK
148,212,Sterling,52.3,75,25%,48000,1,54%,268,201,0.31,38.9973,-77.4183,OK
149,263,Rural,52.3,95,5%,48000,1,61%,306,291,3.25,38.4081,-78.8521,OK
150,167,Rural,52.0,95,5%,48000,1,54%,270,256,0.69,38.1537,-79.0800,OK
151,196,Rural,52.0,95,5%,48000,1,72%,359,341,10.69,38.3397,-77.0324,OK
152,149,Newport News,51.9,75,25%,48000,1,64%,322,242,1.55,37.0718,-76.5013,OK
153,115,Rural,51.8,95,5%,48000,2,73%,732,695,20.94,37.3241,-76.7247,OK
154,98,Newport News,51.8,75,25%,48000,2,60%,600,450,10.58,37.2672,-76.5117,OK
155,68,Rural,51.5,95,5%,48000,3,75%,1128,1072,86.59,36.9925,-77.0593,OK
156,271,Richmond,51.4,65,35%,48000,1,52%,260,169,0.25,37.5950,-77.6047,OK
157,285,Rural,51.0,95,5%,48000,1,55%,274,261,1.19,37.3120,-76.7842,OK
158,101,Rural,51.0,95,5%,48000,2,73%,731,695,23.56,37.1726,-78.1393,OK
159,67,Virginia Beach,51.0,65,35%,48000,3,64%,961,625,10.94,36.7885,-75.9697,OK
160,267,Rural,51.0,95,5%,48000,1,70%,348,330,10.40,38.8836,-78.4836,OK
161,223,Fredericksburg,50.7,85,15%,48000,1,74%,371,315,11.51,38.2539,-77.1693,OK
162,192,Newport News,50.6,75,25%,48000,1,59%,294,221,0.71,37.0978,-76.4624,OK
163,12,Suffolk,50.6,90,10%,48000,16,72%,5784,5205,35.88,36.7292,-76.5500,OK
164,253,Virginia Beach,50.6,65,35%,48000,1,60%,298,194,0.50,36.8159,-76.0780,OK
165,70,Rural,50.6,95,5%,48000,3,72%,1074,1020,28.38,37.0925,-79.2918,OK
166,25,Rural,50.5,95,5%,48000,6,72%,2157,2050,133.75,37.4121,-78.4291,OK
167,7,Virginia Beach,50.5,65,35%,48000,27,64%,8650,5623,16.26,36.8432,-76.1276,OK
168,15,Norfolk,50.4,60,40%,48000,12,62%,3696,2218,11.87,36.9155,-76.1745,OK
169,13,Hopewell,50.2,90,10%,48000,15,71%,5310,4779,33.85,37.2637,-77.3012,OK
170,152,Manassas,50.1,80,20%,48000,1,55%,274,220,0.60,38.6756,-77.3269,OK
171,10,Newport News,49.8,75,25%,48000,18,67%,5995,4496,18.49,37.1432,-76.5294,OK
172,287,Norfolk,49.6,60,40%,48000,1,60%,300,180,0.52,36.8268,-76.1547,OK
173,153,Portsmouth,49.4,70,30%,48000,1,61%,304,213,1.16,36.8557,-76.3369,OK
174,33,Fredericksburg,49.2,85,15%,48000,5,74%,1848,1571,55.30,38.1601,-77.5916,OK
175,211,Sterling,49.1,75,25%,48000,1,59%,297,223,1.46,39.1084,-77.5766,OK
176,160,Sterling,49.1,75,25%,48000,1,52%,260,195,0.44,39.0323,-77.3845,OK
177,5,Colonial Heights,49.1,85,15%,48000,41,72%,14735,12524,148.40,37.1999,-77.4413,OK
178,140,Fredericksburg,49.1,85,15%,48000,1,58%,290,247,2.74,38.3519,-77.4971,OK
179,52,Henrico,49.0,75,25%,48000,3,58%,866,650,13.43,37.5813,-77.3271,OK
180,36,Rural,49.0,95,5%,48000,4,67%,1344,1277,217.82,38.4986,-77.8433,OK
181,276,Henrico,48.9,75,25%,48000,1,56%,282,212,0.78,37.5524,-77.3588,OK
182,237,Arlington,48.8,55,45%,48000,1,55%,274,151,0.32,38.8591,-77.0879,OK
183,18,Manassas,48.6,80,20%,48000,9,75%,3394,2715,143.56,38.5268,-77.4430,OK
184,232,Chesapeake,48.6,80,20%,48000,1,52%,262,210,0.62,36.7891,-76.2761,OK
185,14,Fredericksburg,48.5,85,15%,48000,12,65%,3923,3335,21.10,38.2720,-77.4568,OK
186,63,Rural,48.3,95,5%,48000,3,65%,973,924,108.63,38.0783,-76.6069,OK
187,244,Rural,48.2,95,5%,48000,1,51%,255,242,1.74,38.0618,-78.9260,OK
188,261,Manassas,48.2,80,20%,48000,1,52%,260,208,0.65,38.8438,-77.4419,OK
189,217,Alexandria,48.1,60,40%,48000,1,52%,262,157,0.33,38.7917,-77.0793,OK
190,248,Norfolk,48.0,60,40%,48000,1,61%,307,184,1.01,36.8342,-76.1888,OK
191,84,Rural,47.9,95,5%,48000,2,63%,632,601,26.60,38.8697,-78.5636,OK
192,3,Hampton,47.9,75,25%,48000,68,70%,23648,17736,75.87,37.0091,-76.3945,OK
193,60,Rural,47.9,95,5%,48000,3,63%,952,905,91.96,36.7834,-79.0189,OK
194,157,Rural,47.9,95,5%,48000,1,80%,400,380,42.53,37.2667,-78.5706,OK
195,2,Norfolk,47.8,60,40%,48000,115,74%,42628,25577,76.65,36.8205,-76.3110,OK
196,145,Richmond,47.8,65,35%,48000,1,60%,300,195,1.24,37.4718,-77.5886,OK
197,102,Rural,47.8,95,5%,48000,2,63%,633,601,167.67,38.1058,-79.3378,OK
198,206,Rural,47.8,95,5%,48000,1,58%,292,278,6.69,37.6373,-79.4506,OK
199,151,Manassas,47.8,80,20%,48000,1,54%,268,214,0.96,38.6748,-77.3604,OK
200,58,Rural,47.7,95,5%,48000,3,63%,940,893,86.85,38.4725,-78.7821,OK
201,1,Richmond,47.5,65,35%,48000,216,74%,79995,51997,222.21,37.5028,-77.4391,OK
202,16,Rural,47.4,95,5%,48000,10,62%,3104,2949,523.86,38.0052,-79.2411,OK
203,82,Rural,47.4,95,5%,48000,2,62%,620,589,223.61,37.4292,-78.0102,OK
204,21,Rural,47.2,95,5%,48000,8,61%,2457,2334,535.75,36.8399,-77.3470,OK
205,275,Ashland,47.1,90,10%,48000,1,52%,258,232,2.18,37.6601,-77.6284,OK
206,200,Rural,47.1,95,5%,48000,1,64%,320,304,11.55,38.1659,-78.8361,OK
207,29,Rural,46.9,95,5%,48000,6,60%,1812,1721,248.63,36.6970,-78.1501,OK
208,258,Norfolk,46.9,60,40%,48000,1,60%,298,179,1.05,36.8692,-76.2205,OK
209,55,Danville,46.8,95,5%,48000,3,60%,901,856,199.42,36.6317,-79.0997,OK
210,147,Herndon,46.8,70,30%,48000,1,53%,266,186,0.65,38.9582,-77.3963,OK
211,61,Rural,46.5,95,5%,48000,3,59%,886,842,361.88,36.9902,-77.6534,OK
212,103,Rural,46.4,95,5%,48000,2,59%,586,557,158.96,36.5794,-78.8529,OK
213,92,Rural,46.3,95,5%,48000,2,58%,584,554,85.00,38.1359,-78.1143,OK
214,174,Henrico,46.1,75,25%,48000,1,54%,268,201,1.28,37.6142,-77.3492,OK
215,225,Norfolk,46.1,60,40%,48000,1,52%,261,157,0.44,36.8336,-76.1710,OK
216,50,Rural,46.1,95,5%,48000,3,58%,864,821,163.49,37.2876,-78.8100,OK
217,96,Rural,46.1,95,5%,48000,2,58%,576,548,168.78,37.1888,-76.9043,OK
218,274,Ashland,46.0,90,10%,48000,1,52%,258,232,3.11,37.6669,-77.4427,OK
219,182,Rural,45.8,95,5%,48000,1,60%,302,286,10.47,38.2659,-78.8018,OK
220,175,Fairfax,45.6,65,35%,48000,1,51%,256,167,0.53,38.6873,-77.2963,OK
221,37,Rural,45.6,95,5%,48000,4,56%,1119,1063,211.45,37.0015,-79.3817,OK
222,31,Charlottesville,45.6,80,20%,48000,5,66%,1642,1314,175.48,37.9211,-78.4973,OK
223,252,Richmond,45.5,65,35%,48000,1,57%,286,186,1.84,37.4252,-77.5032,OK
224,71,Charlottesville,45.5,80,20%,48000,2,66%,656,524,147.07,38.2851,-78.5378,OK
225,53,Rural,45.5,95,5%,48000,3,56%,834,792,167.73,37.7957,-76.4382,OK
226,126,Portsmouth,45.4,70,30%,48000,1,52%,262,183,0.86,36.8475,-76.4304,OK
227,289,Virginia Beach,45.3,65,35%,48000,1,52%,262,171,0.67,36.7697,-76.0249,OK
228,39,Rural,45.2,95,5%,48000,4,55%,1097,1042,359.96,36.9234,-78.6730,OK
229,114,Rural,45.2,95,5%,48000,2,55%,546,519,79.29,38.7013,-78.6266,OK
230,199,Suffolk,45.1,90,10%,48000,1,64%,320,288,12.78,36.8626,-76.5805,OK
231,224,Richmond,45.1,65,35%,48000,1,52%,262,171,0.71,37.5219,-77.6011,OK
232,85,Rural,45.0,95,5%,48000,2,54%,541,514,77.84,37.9978,-78.0231,OK
233,43,Suffolk,45.0,90,10%,48000,4,57%,1140,1026,60.46,36.7126,-76.8465,OK
234,155,Fairfax,44.9,65,35%,48000,1,53%,266,173,0.84,38.6799,-77.2634,OK
235,242,Fairfax,44.9,65,35%,48000,1,54%,272,177,1.12,38.8807,-77.2052,OK
236,278,Charlottesville,44.8,80,20%,48000,1,55%,277,222,4.64,38.0857,-78.7087,OK
237,131,Rural,44.4,95,5%,48000,1,51%,255,242,5.68,38.4118,-78.6176,OK
238,4,Norfolk,44.4,60,40%,48000,45,68%,15215,9129,49.09,36.9299,-76.2911,OK
239,219,Arlington,44.3,55,45%,48000,1,56%,278,153,0.82,38.8216,-77.1800,OK
240,80,Rural,44.2,95,5%,48000,2,51%,514,489,120.43,37.4074,-76.4120,OK
